accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.4277108433734939,0.8802395209580839,0.2899408284023668,0.4362017804154303,0.6753476802472392,0.159188055220221,H20,logreg,raw,30,664
0.5827900912646675,0.8334995014955134,0.4289379168804515,0.5663956639566395,0.7131367292225201,0.2870113620172478,H6,logreg,raw,30,3068
0.6775608686115376,0.7069908814589666,0.5406787540678754,0.6127502634351949,0.7343015147092211,0.3539598161230785,H2,logreg,raw,30,4559
0.7736572890025576,0.5863746958637469,0.5670588235294117,0.5765550239234449,0.7898094303568661,0.4222741450544651,H13,logreg,raw,30,1564
0.3460410557184751,0.9875621890547264,0.309190031152648,0.4709371293001186,0.731434968847352,0.1271389272283229,H8,logreg,raw,30,2728
0.7085514834205934,0.4495798319327731,0.7482517482517482,0.5616797900262467,0.7938851845828591,0.3895681788601932,H22,logreg,raw,30,573
0.6888888888888889,0.6584699453551912,0.5683962264150944,0.610126582278481,0.7266984465631042,0.3562651259841263,H18,logreg,raw,30,990
0.7237185056472633,0.5690298507462687,0.7780612244897959,0.6573275862068966,0.8196035331128498,0.4500488301214258,H16,logreg,raw,30,1151
0.6408163265306123,0.5909090909090909,0.4350393700787401,0.5011337868480725,0.6601708782218123,0.2371150258428902,H15,logreg,raw,30,1225
0.6640159045725647,0.702020202020202,0.5582329317269076,0.6219239373601789,0.7368371122284414,0.3335679319882508,H23,logreg,raw,30,503
0.784037558685446,0.851063829787234,0.5063291139240507,0.6349206349206349,0.8653646325335348,0.5289385304788956,H26,logreg,raw,30,426
0.7368679430535101,0.6751592356687898,0.4536376604850214,0.5426621160409556,0.7752782594582589,0.3821246782814979,H10,logreg,raw,30,2037
0.6548387096774193,0.3525641025641026,0.9016393442622952,0.5069124423963134,0.8502937067029503,0.3944013249318573,H19,logreg,raw,30,930
0.74,0.8197278911564626,0.3905996758508914,0.5290889132821076,0.7865197274386102,0.4290065075196254,H11,logreg,raw,30,1650
0.7731958762886598,0.7310924369747899,0.5272727272727272,0.6126760563380281,0.8190719696969697,0.470444191407461,H24,logreg,raw,30,485
0.7528868360277137,0.5192307692307693,0.7168141592920354,0.6022304832713755,0.8335176991150443,0.4413209853536574,H25,catboost,covbat,30,433
0.7522005357826254,0.5908284773245502,0.7051708497127306,0.6429556106975461,0.8150396247923324,0.4596446544591217,H1,catboost,covbat,30,10452
0.7762430939226519,0.7105263157894737,0.7448275862068966,0.7272727272727273,0.8470046082949308,0.5381853578721292,H27,catboost,covbat,30,362
0.7030015797788309,0.9,0.6985887096774194,0.7866061293984109,0.7884057864374853,0.3522661317227673,H14,catboost,covbat,30,1266
0.7707317073170732,0.7941176470588235,0.7570093457943925,0.7751196172248804,0.8251954987602517,0.5422068009643392,H29,catboost,covbat,30,205
0.808275426405559,0.5708812260536399,0.6225626740947076,0.5956029313790806,0.8325015475085114,0.4710231724390073,H4,catboost,covbat,30,3166
0.7789748612471433,0.5743685687558466,0.7344497607655502,0.6446194225721785,0.8320014480827943,0.4954520113348316,H7,catboost,covbat,30,3063
0.7717879604672058,0.312280701754386,0.6054421768707483,0.412037037037037,0.7618382526693678,0.3122644803326935,H3,catboost,covbat,30,3339
0.7455808080808081,0.543035993740219,0.75764192139738,0.6326344576116681,0.8273557904860889,0.4605122603446427,H12,catboost,covbat,30,1584
0.5974786132372805,0.9021739130434784,0.5345433255269321,0.6713235294117647,0.7316743589392425,0.2890462367024575,H9,catboost,covbat,30,2221
0.6628787878787878,0.5888888888888889,0.5047619047619047,0.5435897435897435,0.7179395028451633,0.2809040749268022,H28,catboost,covbat,30,264
0.8096539162112932,0.7184466019417476,0.6453488372093024,0.6799387442572741,0.8671581025229782,0.5466303035794451,H17,catboost,covbat,30,1098
0.687797147385103,0.4957627118644068,0.6,0.54292343387471,0.7397553516819572,0.3123482213800715,H21,catboost,covbat,30,631
0.7071428571428572,0.6610169491525424,0.65,0.6554621848739496,0.7556249999999999,0.4008778816015087,H30,catboost,covbat,30,140
0.7269503546099291,0.6809728183118741,0.4327272727272727,0.5291828793774319,0.7488588684043229,0.3679390528068216,H5,catboost,covbat,30,3102
0.5391566265060241,0.8941176470588236,0.4497041420118343,0.5984251968503937,0.6924710109423485,0.2426298675570533,H20,catboost,covbat,30,664
0.6121251629726207,0.8361381753764393,0.4843509492047204,0.6133853151397011,0.7255552789152889,0.3184267064723363,H6,catboost,covbat,30,3068
0.7179205966220662,0.6879617557583659,0.7359367735936774,0.711141060197664,0.7929389637208066,0.4370873408083369,H2,catboost,covbat,30,4559
0.7755754475703325,0.5852534562211982,0.5976470588235294,0.5913853317811408,0.8062056499509375,0.436760601107934,H13,catboost,covbat,30,1564
0.4574780058651026,0.9839857651245552,0.4306853582554517,0.5991332611050921,0.7625705802180685,0.1518981045342096,H8,catboost,covbat,30,2728
